id;start_date;end_date;language
1;2024-02-22T09:05:48;2024-02-22T06:56:03;ENGLISH
2;2024-02-21T18:33:23;2024-02-22T03:58:52;FRENCH
3;2024-02-22T04:29:35;2024-02-21T16:34:43;SPANISH
4;2024-02-22T09:00:24;2024-02-21T14:26:43;FRENCH
5;2024-02-22T11:16:47;2024-02-21T19:35:45;ENGLISH
6;2024-02-21T20:47:30;2024-02-22T10:47:50;SPANISH
7;2024-02-22T04:51:18;2024-02-21T15:25:27;FRENCH
8;2024-02-21T19:17:11;2024-02-21T15:53:00;FRENCH
9;2024-02-21T20:08:49;2024-02-22T07:40:15;FRENCH
10;2024-02-21T16:05:47;2024-02-22T09:03:16;FRENCH
